City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,"Severo-Kurilsk,Ru",50.6789,156.125,clear sky,49.37,82,7,15.75,RU,2021-09-20 07:53:28
147,"Kazachinskoye,Ru",57.6953,93.2761,overcast clouds,48.02,65,100,7.96,RU,2021-09-20 07:53:29
148,"Corinto,Ni",12.482,-87.1734,overcast clouds,76.5,89,99,7.07,NI,2021-09-20 07:53:31
149,"Rio Grande,Br",-32.035,-52.0986,moderate rain,68.95,99,100,0.58,BR,2021-09-20 07:53:32
150,"Soe,Id",-9.8607,124.284,clear sky,78.8,40,7,11.05,ID,2021-09-20 07:53:34
151,"Barrow,Us",71.2906,-156.7887,light snow,30.22,86,75,5.75,US,2021-09-20 07:53:35
152,"Gubkinskiy,Ru",64.434,76.5026,overcast clouds,36.84,80,100,21.54,RU,2021-09-20 07:53:36
153,"Carnarvon,Au",-24.8667,113.6333,clear sky,96.87,7,0,17.27,AU,2021-09-20 07:53:39
154,"Richards Bay,Za",-28.783,32.0377,light rain,67.24,63,100,12.71,ZA,2021-09-20 07:53:40
155,"Taitung,Tw",22.7583,121.1444,broken clouds,88.07,74,75,6.91,TW,2021-09-20 07:53:42
156,"Kieta,Pg",-6.2167,155.6333,overcast clouds,79.56,82,96,4.9,PG,2021-09-20 07:53:43
157,"West Wendover,Us",40.7391,-114.0733,clear sky,51.01,50,1,9.22,US,2021-09-20 07:53:45
158,"Chokurdakh,Ru",70.6333,147.9167,scattered clouds,28.49,69,36,8.32,RU,2021-09-20 07:53:46
159,"Berovo,Mk",41.7031,22.8578,clear sky,76.17,40,10,9.86,MK,2021-09-20 07:53:49
160,"Astoria,Us",46.1879,-123.8313,overcast clouds,55.85,95,90,4.61,US,2021-09-20 07:53:50
161,"Biloela,Au",-24.4167,150.5,clear sky,74.48,47,6,15.59,AU,2021-09-20 07:53:51
162,"Axim,Gh",4.8699,-2.2405,overcast clouds,78.33,81,92,3.62,GH,2021-09-20 07:53:53
163,"Honningsvag,No",70.9821,25.9704,overcast clouds,45.64,73,99,29.42,NO,2021-09-20 07:53:54
164,"Tasiilaq,Gl",65.6145,-37.6368,overcast clouds,24.22,59,88,4.27,GL,2021-09-20 07:53:56
165,"Sitka,Us",57.0531,-135.33,few clouds,51.69,82,20,9.22,US,2021-09-20 07:51:44
166,"Chuy,Uy",-33.6971,-53.4616,light rain,62.42,100,100,2.75,UY,2021-09-20 07:50:50
167,"Sisimiut,Gl",66.9395,-53.6735,overcast clouds,30.79,56,99,4.36,GL,2021-09-20 07:54:01
168,"Biak,Id",-0.9131,122.8766,broken clouds,80.37,78,63,6.11,ID,2021-09-20 07:54:02
169,"Salon,In",26.0333,81.45,scattered clouds,93.27,51,27,1.14,IN,2021-09-20 07:54:04
170,"Igarka,Ru",67.4667,86.5833,overcast clouds,35.11,80,100,14.2,RU,2021-09-20 07:54:05
171,"Lorengau,Pg",-2.0226,147.2712,light rain,81.07,78,48,6.53,PG,2021-09-20 07:54:07
172,"Marquette,Us",46.5333,-87.6335,clear sky,70.68,79,0,11.92,US,2021-09-20 07:54:08
173,"Narrabri,Au",-30.3167,149.7833,overcast clouds,73.49,23,99,11.5,AU,2021-09-20 07:54:09
174,"Voh,Nc",-20.9667,164.7,clear sky,67.01,69,2,6.96,NC,2021-09-20 07:54:11
175,"Peniche,Pt",39.3558,-9.3811,clear sky,65.1,88,3,21.18,PT,2021-09-20 07:54:12
176,"Silver City,Us",32.7701,-108.2803,clear sky,68.63,59,1,5.99,US,2021-09-20 07:54:14
177,"Acara,Br",-1.9608,-48.1967,scattered clouds,70.32,99,31,2.8,BR,2021-09-20 07:54:15
178,"Manta,Ec",-0.95,-80.7333,broken clouds,73.18,88,75,9.22,EC,2021-09-20 07:54:16
179,"Tomatlan,Mx",19.9333,-105.25,overcast clouds,72.61,95,96,3.22,MX,2021-09-20 07:54:19
180,"Cabo San Lucas,Mx",22.8909,-109.9124,clear sky,81.52,83,8,1.92,MX,2021-09-20 07:50:18
