City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Chifeng,42.2683,118.9636,61.5,59,100,4.5,CN,2021-09-18 15:07:02
97,Mollendo,-17.0231,-72.0147,63.03,76,93,7.72,PE,2021-09-18 15:07:43
98,Flinders,-34.5833,150.8552,55.8,64,0,1.01,AU,2021-09-18 15:07:44
99,Ponta Do Sol,32.6667,-17.1,76.12,75,66,6.76,PT,2021-09-18 15:07:44
100,Khatanga,71.9667,102.5,27.7,76,18,10.78,RU,2021-09-18 15:07:45
101,Fortuna,40.5982,-124.1573,66.09,70,90,1.99,US,2021-09-18 15:07:45
102,Koumac,-20.5667,164.2833,65.43,73,0,5.84,NC,2021-09-18 15:07:45
103,Mezhdurechensk,53.6942,88.0603,52.05,93,94,2.75,RU,2021-09-18 15:07:46
104,Jalu,29.0331,21.5482,94.87,19,0,11.07,LY,2021-09-18 15:07:46
105,Gayny,60.3071,54.3241,37.15,91,100,11.86,RU,2021-09-18 15:07:47
106,Mizdah,31.4451,12.9801,94.6,11,0,8.01,LY,2021-09-18 15:07:47
107,Touros,-5.1989,-35.4608,86.9,49,32,19.57,BR,2021-09-18 15:07:46
108,Ribeira Grande,38.5167,-28.7,75.6,46,20,12.66,PT,2021-09-18 15:07:48
109,Provideniya,64.3833,-173.3,40.41,83,36,8.03,RU,2021-09-18 15:07:48
110,Inirida,3.8653,-67.9239,76.89,95,92,4.05,CO,2021-09-18 15:07:49
111,Mecca,21.4267,39.8261,95.86,23,42,16.58,SA,2021-09-18 15:07:49
112,Hatillo,18.4863,-66.8254,90.09,56,21,14.14,PR,2021-09-18 15:07:50
113,Upernavik,72.7868,-56.1549,24.39,51,18,5.41,GL,2021-09-18 15:07:50
114,Port Moresby,-9.4431,147.1797,75.67,89,85,10.71,PG,2021-09-18 15:07:51
115,Naze,28.3667,129.4833,73.56,75,10,5.5,JP,2021-09-18 15:07:52
116,Binga,-17.6203,27.3414,85.12,41,5,14.03,ZW,2021-09-18 15:07:52
117,Belaya Gora,68.5333,146.4167,30.88,88,100,14.36,RU,2021-09-18 15:07:53
118,Muncar,-8.4333,114.3333,76.15,90,19,5.06,ID,2021-09-18 15:07:53
119,French Harbor,16.35,-86.4333,87.8,80,40,4.0,HN,2021-09-18 15:07:54
120,Vila Velha,-20.3297,-40.2925,84.15,48,0,14.97,BR,2021-09-18 15:05:32
121,Charlestown,-32.95,151.6667,58.73,77,33,3.0,AU,2021-09-18 15:07:54
122,Goure,13.9835,10.2704,100.02,18,100,9.44,NE,2021-09-18 15:07:55
123,Mahebourg,-20.4081,57.7,72.25,74,11,10.42,MU,2021-09-18 15:07:56
124,Deputatskiy,69.3,139.9,24.12,97,100,12.12,RU,2021-09-18 15:07:56
125,Moron,-34.6534,-58.6198,75.0,72,1,4.5,AR,2021-09-18 15:07:56
126,Maldonado,-34.6667,-54.9167,65.59,59,13,4.5,UY,2021-09-18 15:07:57
127,Salta,-24.7859,-65.4117,77.81,28,95,4.68,AR,2021-09-18 15:05:39
128,Hithadhoo,-0.6,73.0833,83.39,72,80,1.95,MV,2021-09-18 15:07:58
129,High Prairie,55.4334,-116.4858,44.64,77,100,4.36,CA,2021-09-18 15:05:00
130,Port Lincoln,-34.7333,135.8667,54.32,73,17,15.84,AU,2021-09-18 15:07:59
131,Batagay-Alyta,67.8006,130.4114,27.81,90,100,7.23,RU,2021-09-18 15:07:59
132,Mayya,61.7333,130.2811,38.52,97,100,11.81,RU,2021-09-18 15:08:00
133,Borovoy,55.4333,86.0833,49.28,66,0,6.71,RU,2021-09-18 15:08:00
134,Luganville,-15.5333,167.1667,77.38,84,98,12.08,VU,2021-09-18 15:08:01
135,San Patricio,28.017,-97.5169,87.69,59,0,2.57,US,2021-09-18 15:08:02
136,Gasa,31.5,34.4667,84.18,56,0,13.38,PS,2021-09-18 15:08:02
137,Jamestown,42.097,-79.2353,75.02,86,20,3.0,US,2021-09-18 15:03:43
138,Tuktoyaktuk,69.4541,-133.0374,39.52,87,100,3.44,CA,2021-09-18 15:03:16
139,Namatanai,-3.6667,152.4333,79.43,80,97,7.76,PG,2021-09-18 15:08:03
140,Camacha,33.0833,-16.3333,72.82,64,40,13.8,PT,2021-09-18 15:08:03
141,Bacolod,10.6667,122.95,77.94,87,72,3.24,PH,2021-09-18 15:08:04
142,Loandjili,-4.7561,11.8578,76.66,75,77,11.16,CG,2021-09-18 15:08:04
143,Kapaa,22.0752,-159.319,75.18,78,81,13.24,US,2021-09-18 15:08:04
144,Samarai,-10.6167,150.6667,78.3,86,97,21.07,PG,2021-09-18 15:08:05
145,Sangar,63.9242,127.4739,37.4,86,100,16.15,RU,2021-09-18 15:08:06
146,Cascais,38.6979,-9.4215,75.16,51,20,11.01,PT,2021-09-18 15:08:06
147,Kokoda,-8.8785,147.7407,74.77,96,100,0.65,PG,2021-09-18 15:08:07
148,Cabo San Lucas,22.8909,-109.9124,84.81,82,75,0.0,MX,2021-09-18 15:05:53
149,Kangaatsiaq,68.3065,-53.4641,29.34,54,6,8.99,GL,2021-09-18 15:08:08
150,Otjiwarongo,-20.4637,16.6477,87.94,9,0,13.49,NA,2021-09-18 15:08:08
151,Darmanesti,46.3667,26.4833,67.46,77,16,9.86,RO,2021-09-18 15:08:08
152,Cleburne,32.3476,-97.3867,85.82,69,90,5.75,US,2021-09-18 15:07:36
153,Barrow,71.2906,-156.7887,30.22,93,90,12.66,US,2021-09-18 15:08:10
154,Kurikka,62.6167,22.4167,50.76,71,100,2.64,FI,2021-09-18 15:08:10
155,Canico,32.6333,-16.85,76.28,78,75,14.97,PT,2021-09-18 15:08:10
156,Biak,-0.9131,122.8766,74.64,84,94,5.19,ID,2021-09-18 15:08:11
157,Norman Wells,65.282,-126.8329,38.68,89,90,4.03,CA,2021-09-18 15:08:12
158,Prainha,-1.8,-53.48,93.96,42,42,5.23,BR,2021-09-18 15:08:12
159,Nhulunbuy,-12.2333,136.7667,70.41,83,47,2.3,AU,2021-09-18 15:08:13
160,Lakhtar,22.85,71.7833,86.32,69,100,5.97,IN,2021-09-18 15:08:13
161,Roald,62.5833,6.1333,64.17,77,0,4.61,NO,2021-09-18 15:08:14
162,Cidreira,-30.1811,-50.2056,69.51,81,19,4.52,BR,2021-09-18 15:08:14
163,Jawhar,2.7809,45.5005,82.54,58,60,18.14,SO,2021-09-18 15:08:15
164,Hambantota,6.1241,81.1185,84.54,84,0,5.75,LK,2021-09-18 15:04:50
165,Marsh Harbour,26.5412,-77.0636,83.03,69,9,3.89,BS,2021-09-18 15:05:44
166,Chapais,49.7834,-74.8492,51.58,67,98,11.92,CA,2021-09-18 15:08:16
167,Esperance,-33.8667,121.9,58.84,77,88,12.75,AU,2021-09-18 15:08:17
168,Codrington,-38.2667,141.9667,46.65,79,100,14.61,AU,2021-09-18 15:08:18
169,Castro,-24.7911,-50.0119,81.46,44,25,7.0,BR,2021-09-18 15:08:18
170,Westport,41.1415,-73.3579,79.02,84,75,1.01,US,2021-09-18 15:05:22
171,Ilulissat,69.2167,-51.1,26.62,50,1,5.75,GL,2021-09-18 15:08:19
172,Guerrero Negro,27.9769,-114.0611,70.65,76,2,15.41,MX,2021-09-18 15:08:19
173,Swellendam,-34.0226,20.4417,72.36,35,55,12.26,ZA,2021-09-18 15:08:20
174,Ypsonas,34.6884,32.9574,83.5,69,20,16.11,CY,2021-09-18 15:08:20
175,Ariquemes,-9.9133,-63.0408,99.34,29,8,4.05,BR,2021-09-18 15:08:21
176,Itoman,26.1247,127.6694,80.62,78,20,5.75,JP,2021-09-18 15:08:21
177,Korla,41.7597,86.1469,76.3,22,4,3.47,CN,2021-09-18 15:08:22
178,Tasiilaq,65.6145,-37.6368,41.16,65,31,4.18,GL,2021-09-18 15:08:22
179,Muisne,0.6,-80.0333,80.71,87,100,12.5,EC,2021-09-18 15:08:23
180,Torbay,47.6666,-52.7314,68.76,69,0,11.99,CA,2021-09-18 15:08:24
181,Diego De Almagro,-26.3667,-70.05,76.84,12,62,6.06,CL,2021-09-18 15:08:24
182,Greenwood,34.1668,-82.1165,81.81,76,1,3.44,US,2021-09-18 15:06:03
183,Jaguaribe,-5.8906,-38.6219,93.76,31,14,8.41,BR,2021-09-18 15:08:24
184,Ahuimanu,21.4447,-157.8378,75.85,76,1,9.22,US,2021-09-18 15:08:25
185,Chokurdakh,70.6333,147.9167,25.05,85,15,7.09,RU,2021-09-18 15:08:26
186,Dikson,73.5069,80.5464,35.13,70,8,24.45,RU,2021-09-18 15:08:26
187,Shihezi,44.3,86.0333,78.24,20,25,6.31,CN,2021-09-18 15:08:27
188,Watsa,3.0372,29.5355,67.69,96,100,2.91,CD,2021-09-18 15:08:27
189,Staryy Nadym,65.6118,72.6842,38.8,89,100,16.82,RU,2021-09-18 15:08:28
190,Sarangani,5.4033,125.4636,82.6,75,79,8.14,PH,2021-09-18 15:08:28
191,Avera,33.194,-82.5271,82.67,63,99,6.17,US,2021-09-18 15:08:29
192,Mega,4.05,38.3,74.16,40,91,11.61,ET,2021-09-18 15:08:29
193,Leningradskiy,69.3833,178.4167,25.88,88,100,11.99,RU,2021-09-18 15:08:29
194,Yanam,16.7333,82.2167,81.0,84,64,2.89,IN,2021-09-18 15:08:30
195,Ancud,-41.8697,-73.8203,49.42,74,93,3.89,CL,2021-09-18 15:08:30
196,Sao Jose Da Coroa Grande,-8.8978,-35.1478,80.44,64,4,11.27,BR,2021-09-18 15:08:31
197,Katsuura,35.1333,140.3,77.02,93,59,9.57,JP,2021-09-18 15:08:31
198,Victoria,22.2855,114.1577,87.33,80,96,14.14,HK,2021-09-18 15:08:14
199,Derzhavinsk,51.1,66.3167,45.37,73,100,19.93,KZ,2021-09-18 15:08:32
200,Arlit,18.7369,7.3853,104.32,10,15,7.2,NE,2021-09-18 15:08:32
201,Zalantun,48.0,122.7167,47.14,99,100,3.51,CN,2021-09-18 15:08:33
202,Georgetown,5.4112,100.3354,79.9,93,40,3.44,MY,2021-09-18 15:06:48
203,Faanui,-16.4833,-151.75,77.58,76,15,21.74,PF,2021-09-18 15:08:33
204,Richards Bay,-28.783,32.0377,63.55,60,50,5.55,ZA,2021-09-18 15:08:34
